wl(nm)	eps1	              eps2
258	-1.15819074404156	4.58840488498914
259	-1.18163613082434	4.62570631378923
260	-1.20367541976998	4.66337364121959
261	-1.22450388388258	4.70056454586231
262	-1.24431305716381	4.73645256163478
263	-1.26314911989477	4.77082759861607
264	-1.28086943273252	4.80428026132035
265	-1.29731873720078	4.8374546660186
266	-1.3123417748233	4.87099492898178
267	-1.32578328712383	4.90554516648086
268	-1.3374880156261	4.94174949478681
269	-1.3473007487023	4.98025177975519
270	-1.35512844261411	5.02136358599062
271	-1.3610627770507	5.06440909013048
272	-1.36522958421926	5.10852991597727
273	-1.36775469632701	5.15286768733346
274	-1.36876394558113	5.19656402800153
275	-1.36838316418884	5.23876056178397
276	-1.36673818435733	5.27859891248325
277	-1.36397017505509	5.31533825535064
278	-1.36030325840522	5.34887357546255
279	-1.35598947406473	5.37931383700727
280	-1.35128088272873	5.40676816542333
281	-1.34642954509229	5.43134568614928
282	-1.34168752185053	5.45315552462366
283	-1.33730687369854	5.47230680628501
284	-1.3335396613314	5.48890865657188
285	-1.33061523694351	5.50309289442603
286	-1.32842316627441	5.51533090083762
287	-1.32659144677782	5.52635545233402
288	-1.32474134746281	5.53690604944357
289	-1.32249413733847	5.5477221926946
290	-1.31947108541385	5.55954338261547
291	-1.31529346069805	5.57310911973449
292	-1.30958253220013	5.58915890458002
293	-1.3019936286335	5.6083691159213
294	-1.29269171280598	5.63047164398416
295	-1.28223406486045	5.65447130984343
296	-1.27118805670406	5.67935423183053
297	-1.26012106024393	5.70410652827686
298	-1.24960044738718	5.72771431751381
299	-1.24019359004096	5.7491637178728
300	-1.23246786011238	5.76744084768522
301	-1.22699045650558	5.78153214063375
302	-1.22409900313027	5.79084250151737
303	-1.22344897302734	5.79602026513642
304	-1.22456972004333	5.79794365735665
305	-1.22699059802479	5.79749090404381
306	-1.23024096081823	5.79554023106365
307	-1.23385016227019	5.79296986428192
308	-1.23734755622721	5.79065802956437
309	-1.24026249653583	5.78948295277675
310	-1.24212433704257	5.79032285978482
311	-1.24246678224836	5.79404746078796
312	-1.24116014839514	5.80086760572581
313	-1.23864533199048	5.80987733066541
314	-1.2354184989662	5.82006249117162
315	-1.23197581525409	5.83040894280927
316	-1.22881344678595	5.83990254114322
317	-1.22642755949358	5.84752914173831
318	-1.22531431930878	5.85227460015938
319	-1.22596989216334	5.85312477197128
320	-1.22889044398906	5.84906551273886
321	-1.23453574219097	5.83915409313216
322	-1.24282092436602	5.82351636539541
323	-1.25324187100643	5.80310077798462
324	-1.26528367785577	5.77887693938699
325	-1.27843144065758	5.75181445808971
326	-1.29217025515541	5.72288294257996
327	-1.30598521709282	5.69305200134495
328	-1.31936142221337	5.66329124287186
329	-1.3317839662606	5.63457027564788
330	-1.34273794497807	5.60785870816021
331	-1.35170845410934	5.58412614889603
332	-1.35819603576466	5.56431396012931
333	-1.36205649848889	5.54871384122965
334	-1.36350091726141	5.53696782866234
335	-1.36275581342833	5.52868971267942
336	-1.36004770833576	5.52349328353291
337	-1.35560312332982	5.52099233147487
338	-1.34964857975662	5.52080064675734
339	-1.34241059896227	5.52253201963235
340	-1.33411570229289	5.52580024035194
341	-1.32499041109458	5.53021909916816
342	-1.31526124671346	5.53540238633305
343	-1.30515454949059	5.54097052643293
344	-1.29489249665118	5.54669653374297
345	-1.2846931023045	5.55250601222712
346	-1.2747741995548	5.55833120018365
347	-1.26535362150635	5.5641043359108
348	-1.2566492012634	5.56975765770684
349	-1.24887877193019	5.57522340387003
350	-1.24226016661099	5.58043381269862
351	-1.23701121841004	5.58532112249087
352	-1.23334976043159	5.58981757154505
353	-1.23149362577991	5.5938553981594
354	-1.23166064755924	5.59736684063218
355	-1.23403631808521	5.60029503378868
356	-1.23856711103257	5.60266364459915
357	-1.24509237121372	5.6045324347796
358	-1.25345093811626	5.60596133630426
359	-1.26348165122781	5.60701028114737
360	-1.27502335003596	5.60773920128318
361	-1.2879148740283	5.60820802868591
362	-1.30199506269245	5.60847669532982
363	-1.31710275551599	5.60860513318913
364	-1.33307679198654	5.60865327423809
365	-1.34975601159169	5.60868105045093
366	-1.36697925381903	5.6087483938019
